Share,Column,Count,Sum,Mean,Median,Mode,Min,Q1,Q2,Q3,IQR,Max,Range,Variance (Population),Std Dev (Population),Variance (Sample),Std Dev (Sample),Skewness,Kurtosis
RELIANCE.NS,Adj Close,20,27788.5,1389.425,1393.6499633789062,"[1343.9000244140625, 1345.0, 1348.0999755859375, 1358.0, 1370.699951171875, 1380.699951171875, 1384.800048828125, 1389.4000244140625, 1390.199951171875, 1392.199951171875, 1395.0999755859375, 1397.5999755859375, 1404.800048828125, 1407.800048828125, 1408.0999755859375, 1408.800048828125, 1411.800048828125, 1413.0999755859375, 1414.4000244140625, 1424.0]",1343.9000244140625,1378.199951171875,1393.6499633789062,1408.2749938964844,30.075042724609375,1424.0,80.0999755859375,573.7692512220144,23.9534809833981,603.9676328652783,24.57575294604986,-0.7296855614605481,-0.5622908315711221
RELIANCE.NS,Close,20,27788.5,1389.425,1393.6499633789062,"[1343.9000244140625, 1345.0, 1348.0999755859375, 1358.0, 1370.699951171875, 1380.699951171875, 1384.800048828125, 1389.4000244140625, 1390.199951171875, 1392.199951171875, 1395.0999755859375, 1397.5999755859375, 1404.800048828125, 1407.800048828125, 1408.0999755859375, 1408.800048828125, 1411.800048828125, 1413.0999755859375, 1414.4000244140625, 1424.0]",1343.9000244140625,1378.199951171875,1393.6499633789062,1408.2749938964844,30.075042724609375,1424.0,80.0999755859375,573.7692512220144,23.9534809833981,603.9676328652783,24.57575294604986,-0.7296855614605481,-0.5622908315711221
RELIANCE.NS,High,20,28145.7001953125,1407.285009765625,1411.9000244140625,"[1352.800048828125, 1365.0, 1378.5999755859375, 1384.4000244140625, 1397.300048828125, 1399.0, 1400.800048828125, 1404.699951171875, 1405.9000244140625, 1410.9000244140625, 1412.9000244140625, 1415.5999755859375, 1415.699951171875, 1422.4000244140625, 1424.300048828125, 1429.4000244140625, 1430.0, 1430.5, 1431.5, 1434.0]",1352.800048828125,1398.5750122070312,1411.9000244140625,1425.5750427246094,27.000030517578125,1434.0,81.199951171875,493.43708706140524,22.21344383614133,519.4074600646371,22.790512501140405,-0.9717773457259367,0.41664800236335875
RELIANCE.NS,Low,20,27474.699829101562,1373.7349914550782,1379.75,"[1307.0, 1334.0999755859375, 1341.5, 1345.0, 1353.0999755859375, 1362.9000244140625, 1363.5, 1370.0, 1376.0999755859375, 1378.4000244140625, 1381.0999755859375, 1383.5999755859375, 1388.199951171875, 1390.300048828125, 1391.0, 1396.0999755859375, 1397.199951171875, 1400.5999755859375, 1406.5999755859375, 1408.4000244140625]",1307.0,1360.4500122070312,1379.75,1392.2749938964844,31.824981689453125,1408.4000244140625,101.4000244140625,678.3061391241478,26.04431107025386,714.006462235945,26.720899353052193,-0.8981928389648394,0.4532542683723366
RELIANCE.NS,Open,20,27783.199829101562,1389.1599914550782,1393.25,[1420.0],1330.0,1378.875,1393.25,1400.25,21.375,1430.5999755859375,100.5999755859375,684.7444784183429,26.16762271239676,720.7836614929925,26.84741442845088,-0.7197854986761685,0.5033572252771439
RELIANCE.NS,Volume,20,413976183.0,20698809.15,20125965.0,"[9559327.0, 14287414.0, 16498373.0, 17265090.0, 18071259.0, 18620893.0, 18979554.0, 19007744.0, 19041331.0, 19311971.0, 20939959.0, 21848087.0, 22837802.0, 22994918.0, 23266517.0, 23728722.0, 24393861.0, 24870822.0, 25957532.0, 32495007.0]",9559327.0,18483484.5,20125965.0,23382068.25,4898583.75,32495007.0,22935680.0,22059971694414.63,4696804.4130466655,23221022836225.926,4818819.651763897,0.09063962813994404,1.608962093234915
RELIANCE.NS,Daily Return %,19,1.1977315243123172,0.06303850127959565,0.14386419725551658,"[-4.5998160868305105, -1.6547068504931262, -1.3202794585166266, -1.0674123013957204, -0.9572901325478611, -0.8260307716804527, -0.466627225114169, -0.3115459719557956, 0.09207584026444948, 0.14386419725551658, 0.179198626890531, 0.2841312587912981, 0.7512879352761903, 1.0429510337738757, 1.1083938493924306, 1.3667390734995788, 1.9941905105252955, 2.1374909403697906, 3.301117056807623]",-4.5998160868305105,-0.8916604521141569,0.14386419725551658,1.0756724415831531,1.96733289369731,3.301117056807623,7.900933143638134,2.7868761747678485,1.6693939543342813,2.9417026289216177,1.715139244761666,-0.7111704965699033,2.131922001423653
RELIANCE.NS,High-Low Gap,20,671.0003662109375,33.550018310546875,32.35003662109375,[30.9000244140625],15.7000732421875,22.32501220703125,32.35003662109375,41.149993896484375,18.824981689453125,59.699951171875,43.9998779296875,169.09420300405472,13.00362268769956,177.99389789900496,13.341435376263117,0.5718756787443798,-0.42370880645314735
RELIANCE.NS,Open-Close Change,20,5.3001708984375,0.265008544921875,0.39996337890625,"[-52.9000244140625, -34.7000732421875, -21.7999267578125, -17.5, -13.5, -8.199951171875, -6.9000244140625, -4.5, -3.199951171875, -1.4000244140625, 2.199951171875, 7.800048828125, 8.300048828125, 8.9000244140625, 10.9000244140625, 15.0, 15.0999755859375, 16.4000244140625, 36.300048828125, 49.0]",-52.9000244140625,-9.52496337890625,0.39996337890625,11.925018310546875,21.449981689453125,49.0,101.9000244140625,494.26975533586,22.232178375855568,520.2839529851158,22.809733733323494,-0.1828020858072264,1.0992396180354893
TCS.NS,Adj Close,20,49006.0,2450.3,2411.75,"[2356.0, 2358.89990234375, 2377.39990234375, 2383.800048828125, 2389.800048828125, 2390.60009765625, 2391.699951171875, 2398.800048828125, 2409.199951171875, 2410.5, 2413.0, 2440.800048828125, 2442.39990234375, 2464.89990234375, 2513.10009765625, 2527.39990234375, 2557.60009765625, 2578.800048828125, 2587.800048828125, 2613.5]",2356.0,2390.4000854492188,2411.75,2516.675048828125,126.27496337890625,2613.5,257.5,6438.917731938362,80.24286717172039,6777.808138882487,82.3274446274296,0.8144432746985368,-0.7529058014491357
